trial,distance_m,contrast_percent,bit_rate_bps,interference,signal_amplitude,noise_sigma,signal_to_noise_ratio,total_bits,bit_errors,bit_error_rate,packet_recovered,visibility_band
1,0.5,1.0,1.0,quiet,4.0,0.01788854381999832,223.60679774997894,48,0,0.0,True,very-low-contrast
2,0.5,1.0,1.0,quiet,4.0,0.01788854381999832,223.60679774997894,48,0,0.0,True,very-low-contrast
3,0.5,1.0,1.0,quiet,4.0,0.01788854381999832,223.60679774997894,48,0,0.0,True,very-low-contrast
4,0.5,1.0,1.0,quiet,4.0,0.01788854381999832,223.60679774997894,48,0,0.0,True,very-low-contrast
5,0.5,1.0,1.0,quiet,4.0,0.01788854381999832,223.60679774997894,48,0,0.0,True,very-low-contrast
6,0.5,1.0,1.0,quiet,4.0,0.01788854381999832,223.60679774997894,48,0,0.0,True,very-low-contrast
7,0.5,1.0,1.0,quiet,4.0,0.01788854381999832,223.60679774997894,48,0,0.0,True,very-low-contrast
8,0.5,1.0,1.0,quiet,4.0,0.01788854381999832,223.60679774997894,48,0,0.0,True,very-low-contrast
9,0.5,1.0,1.0,quiet,4.0,0.01788854381999832,223.60679774997894,48,0,0.0,True,very-low-contrast
10,0.5,1.0,1.0,quiet,4.0,0.01788854381999832,223.60679774997894,48,0,0.0,True,very-low-contrast
1,0.5,1.0,1.0,moderate,4.0,0.044721359549995794,89.44271909999159,48,0,0.0,True,very-low-contrast
2,0.5,1.0,1.0,moderate,4.0,0.044721359549995794,89.44271909999159,48,0,0.0,True,very-low-contrast
3,0.5,1.0,1.0,moderate,4.0,0.044721359549995794,89.44271909999159,48,0,0.0,True,very-low-contrast
4,0.5,1.0,1.0,moderate,4.0,0.044721359549995794,89.44271909999159,48,0,0.0,True,very-low-contrast
5,0.5,1.0,1.0,moderate,4.0,0.044721359549995794,89.44271909999159,48,0,0.0,True,very-low-contrast
6,0.5,1.0,1.0,moderate,4.0,0.044721359549995794,89.44271909999159,48,0,0.0,True,very-low-contrast
7,0.5,1.0,1.0,moderate,4.0,0.044721359549995794,89.44271909999159,48,0,0.0,True,very-low-contrast
8,0.5,1.0,1.0,moderate,4.0,0.044721359549995794,89.44271909999159,48,0,0.0,True,very-low-contrast
