data_classification,respondent_id,synthetic_profile,account_count,distinct_password_groups,normalized_password_diversity,reused_account_pair_rate,largest_exposure_cascade
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0001,low_reuse,14,12,0.8571,0.022,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0002,moderate_reuse,14,8,0.5714,0.0879,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0003,moderate_reuse,16,5,0.3125,0.2,6
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,15,10,0.6667,0.1048,5
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,14,10,0.7143,0.0769,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0006,low_reuse,11,8,0.7273,0.0545,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,15,13,0.8667,0.019,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,16,5,0.3125,0.3917,10
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0009,low_reuse,10,10,1.0,0.0,1
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,14,13,0.9286,0.011,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,15,13,0.8667,0.019,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0012,moderate_reuse,11,7,0.6364,0.0909,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,14,5,0.3571,0.2747,7
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,13,8,0.6154,0.1923,6
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,15,4,0.2667,0.381,9
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,15,6,0.4,0.181,5
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0017,low_reuse,10,10,1.0,0.0,1
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0018,moderate_reuse,12,8,0.6667,0.0909,3
