data_classification,seed,tag,material,attenuation_db,distance_cm,repetition,modeled_read_probability,read_success
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,1,1,0.999862,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,1,2,0.999862,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,1,3,0.999862,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,1,4,0.999862,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,1,5,0.999862,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,1,6,0.999862,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,1,7,0.999862,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,1,8,0.999862,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,1,9,0.999862,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,1,10,0.999862,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,2,1,0.998729,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,2,2,0.998729,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,2,3,0.998729,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,2,4,0.998729,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,2,5,0.998729,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,2,6,0.998729,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,2,7,0.998729,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,2,8,0.998729,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,2,9,0.998729,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,2,10,0.998729,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,3,1,0.988393,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,3,2,0.988393,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,3,3,0.988393,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,3,4,0.988393,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,3,5,0.988393,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,3,6,0.988393,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,3,7,0.988393,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,3,8,0.988393,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,3,9,0.988393,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,3,10,0.988393,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,4,1,0.902227,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,4,2,0.902227,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,4,3,0.902227,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,4,4,0.902227,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,4,5,0.902227,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,4,6,0.902227,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,4,7,0.902227,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,4,8,0.902227,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,4,9,0.902227,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,4,10,0.902227,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,5,1,0.5,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,5,2,0.5,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,5,3,0.5,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,5,4,0.5,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,5,5,0.5,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,5,6,0.5,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,5,7,0.5,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,5,8,0.5,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,5,9,0.5,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,5,10,0.5,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,6,1,0.097773,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,6,2,0.097773,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,6,3,0.097773,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,6,4,0.097773,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,6,5,0.097773,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,6,6,0.097773,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,6,7,0.097773,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,6,8,0.097773,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,6,9,0.097773,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,6,10,0.097773,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,7,1,0.011607,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,7,2,0.011607,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,7,3,0.011607,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,7,4,0.011607,False
